bucket,token_count,unique_tokens,doc_coverage,top10_tokens
GOV,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
ACOUSTIC,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
TSR,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
FSM,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
CONSENSUS,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
DYNATOKE,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
POSE,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
RAMANUJAN,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
CRT,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
SACNUM,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
FRAC,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
LATT,33703,4846,4,"::2817, ,:2499, ):1398, (:1342, ;:661, {:621, }:621, and:473, i:299, [:298"
GAUSS,29619,4566,2,",:2136, ::2026, ):1379, (:1323, ;:630, {:473, }:473, and:471, i:299, j:278"
TRANSLATE_RT,27094,4131,3,"::2204, ,:1953, ):1083, (:1043, ;:524, {:427, }:427, and:345, [:277, ]:277"
TORUS,27094,4131,3,"::2204, ,:1953, ):1083, (:1043, ;:524, {:427, }:427, and:345, [:277, ]:277"
RECEIPTS,27094,4131,3,"::2204, ,:1953, ):1083, (:1043, ;:524, {:427, }:427, and:345, [:277, ]:277"
OPERATORS,27094,4131,3,"::2204, ,:1953, ):1083, (:1043, ;:524, {:427, }:427, and:345, [:277, ]:277"
MORPHON,27094,4131,3,"::2204, ,:1953, ):1083, (:1043, ;:524, {:427, }:427, and:345, [:277, ]:277"
OPS_CSV,4084,588,2,"::791, ,:363, {:148, }:148, [:136, ]:136, -:129, true:95, type:72, delta_phi:35"
OPS_JSON,4084,588,2,"::791, ,:363, {:148, }:148, [:136, ]:136, -:129, true:95, type:72, delta_phi:35"
__UNBUCKETED__,0,0,4,
