a,b,w
PROOF_E8_DENSEST_AM2017,as,0.7201942724441152
PROOF_E8_DENSEST_AM2017,proof,0.7201942724441152
PROOF_E8_DENSEST_AM2017,theorem,0.7201942724441152
PROOF_E8_DENSEST_AM2017,write,0.7201942724441152
PROOF_E8_DENSEST_AM2017,tested,0.7201942724441152
PROOF_E8_DENSEST_AM2017,extensions,0.7201942724441152
PROOF_E8_DENSEST_AM2017,signs,0.7201942724441152
PROOF_E8_DENSEST_AM2017,canvas,0.7201942724441152
PROOF_E8_DENSEST_AM2017,structures,0.7201942724441152
PROOF_E8_DENSEST_AM2017,before,0.7201942724441152
PROOF_E8_DENSEST_AM2017,30,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,you,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,tasks,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,winner,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,cartan,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,execution_time,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,np,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,re,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,permutation,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,computational,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,ve,0.7201942724441152
PROOF_LEECH_DENSEST_AM2017,setup,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,logic,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,generate,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,work,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,formula,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,available,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,between,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,documentation,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,focus,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,next,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,efficiency,0.7201942724441152
PROOF_UNIVERSAL_OPTIMALITY_AM2022,start_time,0.7201942724441152
CATALOG_NIEMEIER_24,database,0.7201942724441152
CATALOG_NIEMEIER_24,name__,0.7201942724441152
CATALOG_NIEMEIER_24,act,0.7201942724441152
CATALOG_NIEMEIER_24,characteristics,0.7201942724441152
CATALOG_NIEMEIER_24,evidence_level,0.7201942724441152
CATALOG_NIEMEIER_24,perm,0.7201942724441152
CATALOG_NIEMEIER_24,potential,0.7201942724441152
CATALOG_NIEMEIER_24,hodge,0.7201942724441152
CATALOG_NIEMEIER_24,chamber,0.7201942724441152
CATALOG_NIEMEIER_24,me,0.7201942724441152
CATALOG_NIEMEIER_24,truth,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,add,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,methods,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,shell,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,abs,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,during,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,missing,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,systematic,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,reference_channels,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,scale,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,define,0.7201942724441152
DEEPPHOLE_LEECH_23_ORBITS,refine,0.7201942724441152
CODE_GOLAY_EXTENDED,database,0.7201942724441152
CODE_GOLAY_EXTENDED,name__,0.7201942724441152
CODE_GOLAY_EXTENDED,act,0.7201942724441152
CODE_GOLAY_EXTENDED,characteristics,0.7201942724441152
CODE_GOLAY_EXTENDED,evidence_level,0.7201942724441152
CODE_GOLAY_EXTENDED,perm,0.7201942724441152
CODE_GOLAY_EXTENDED,potential,0.7201942724441152
