token,origin,H_pre,H_post,ΔH,C_pre,C_post,ΔC,Ceff_pre,Ceff_post,S_pre,S_post,reconnections
assertisinstance,natural,7.0053282985824925,5.604262638865994,-1.4010656597164983,0,0,0,0,0,0,0,0
HODGE_SPLIT_GRAPH,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
CONWAY_GROUPS_AUT_LEECH,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
organized,natural,-6.875150162511926,-5.500120130009542,1.3750300325023845,0,0,0,0,0,0,0,0
E8_ROOT_SYSTEM_240,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
chamber_inner_products,natural,14.243064083814428,11.394451267051544,-2.848612816762884,0,0,0,0,0,0,0,0
pulse_exploration,natural,9.538250708642313,7.63060056691385,-1.9076501417284621,0,0,0,0,0,0,0,0
neighboring,natural,-6.677988413292857,0.0,6.677988413292857,0,0,0,0,0,0,0,0
PROOF_LEECH_DENSEST_AM2017,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
PARITY_64BIT_LANES,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
sensor,natural,12.121604571708756,9.697283657367006,-2.4243209143417506,0,0,0,0,0,0,0,0
researchtargets,natural,-9.21416964372306,-7.371335714978449,1.8428339287446116,0,0,0,0,0,0,0,0
KOL_MDL_DELTA,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
backends,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0
einstein,natural,10.211198638979964,8.16895891118397,-2.0422397277959927,0,0,0,0,0,0,0,0
DEEPPHOLE_LEECH_23_ORBITS,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
stability_score,natural,-8.590274769269694,-6.872219815415756,1.7180549538539385,0,0,0,0,0,0,0,0
SMT_GODEL_GATES,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
layout_memor_finaly,natural,-8.187007046930393,-6.549605637544315,1.6374014093860785,0,0,0,0,0,0,0,0
strict_enforcement,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0
uptime,natural,7.255829079674831,5.804663263739865,-1.4511658159349654,0,0,0,0,0,0,0,0
entity1,natural,-14.249595219541703,-11.399676175633363,2.84991904390834,0,0,0,0,0,0,0,0
PROOF_E8_DENSEST_AM2017,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
kahler_manifold,natural,-7.696187452695392,-6.156949962156315,1.5392374905390778,0,0,0,0,0,0,0,0
hybrid_vector,natural,11.16494739389842,8.931957915118735,-2.2329894787796842,0,0,0,0,0,0,0,0
UQ_CONFORMAL_90COVERAGE,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
validate_all_systems,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0
globally,natural,8.544880339613702,0.0,-8.544880339613702,0,0,0,0,0,0,0,0
from,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0
multipole,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0
II_25_1_LORENTZ_CUT,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
