token,mod24,band8,paired,EULER_smoke,CLIFFORD_smoke,KNOT_smoke,formal_certified
11,-1,-1,True,False,False,False,False
20,-1,-1,True,False,False,False,False
25,-1,-1,True,False,False,False,False
30,-1,-1,True,False,False,False,False
3f,-1,-1,True,False,False,False,False
4f,-1,-1,True,False,False,False,False
60,-1,-1,True,False,False,False,False
CATALOG_NIEMEIER_24,-1,-1,True,False,False,False,False
CODE_GOLAY_EXTENDED,-1,-1,True,False,False,False,False
CONSTRUCTION_A_TEMPLATE,-1,-1,True,False,False,False,False
CONWAY_GROUPS_AUT_LEECH,-1,-1,True,False,False,False,False
DEEPPHOLE_LEECH_23_ORBITS,-1,-1,True,False,False,False,False
E8_ROOT_SYSTEM_240,-1,-1,True,False,False,False,False
E8_THETA_WEIGHT4,-1,-1,True,False,False,False,False
GROTH_SHEAF_GLUE,-1,-1,True,False,False,False,False
HODGE_SPLIT_GRAPH,-1,-1,True,False,False,False,False
II_25_1_LORENTZ_CUT,-1,-1,True,False,False,False,False
KOL_MDL_DELTA,-1,-1,True,False,False,False,False
LAMINATED_LATTICES_SEQ,-1,-1,True,False,False,False,False
LEECH_MIN_SHELL_196560,-1,-1,True,False,False,False,False
LEECH_NO_ROOTS_MIN4,-1,-1,True,False,False,False,False
NOETHER_CONSERVATION,-1,-1,True,False,False,False,False
PARITY_64BIT_LANES,-1,-1,True,False,False,False,False
PROOF_E8_DENSEST_AM2017,-1,-1,True,False,False,False,False
PROOF_LEECH_DENSEST_AM2017,-1,-1,True,False,False,False,False
PROOF_UNIVERSAL_OPTIMALITY_AM2022,-1,-1,True,False,False,False,False
SMT_GODEL_GATES,-1,-1,True,False,False,False,False
SPECTRAL_GAP_RAYLEIGH,-1,-1,True,False,False,False,False
TURYN_3xE8_TO_LEECH,-1,-1,True,False,False,False,False
UQ_CONFORMAL_90COVERAGE,-1,-1,True,False,False,False,False
WAVELET_FOURIER_SLICE,-1,-1,True,False,False,False,False
about,-1,-1,True,False,False,False,False
abs,-1,-1,True,False,False,False,False
across,-1,-1,True,False,False,False,False
act,-1,-1,True,False,False,False,False
action,-1,-1,True,False,False,False,False
add,-1,-1,True,False,False,False,False
additional,-1,-1,True,False,False,False,False
after,-1,-1,True,False,False,False,False
also,-1,-1,True,False,False,False,False
an,-1,-1,True,False,False,False,False
analyze,-1,-1,True,False,False,False,False
applications,-1,-1,True,False,False,False,False
are,-1,-1,True,False,False,False,False
as,-1,-1,True,False,False,False,False
atom,-1,-1,True,False,False,False,False
available,-1,-1,True,False,False,False,False
ax1,-1,-1,True,False,False,False,False
base,-1,-1,True,False,False,False,False
baseline,-1,-1,True,False,False,False,False
basic,-1,-1,True,False,False,False,False
becomes,-1,-1,True,False,False,False,False
before,-1,-1,True,False,False,False,False
between,-1,-1,True,False,False,False,False
bonus,-1,-1,True,False,False,False,False
bouncing,-1,-1,True,False,False,False,False
by,-1,-1,True,False,False,False,False
canvas,-1,-1,True,False,False,False,False
capacity,-1,-1,True,False,False,False,False
cartan,-1,-1,True,False,False,False,False
chamber,-1,-1,True,False,False,False,False
channels,-1,-1,True,False,False,False,False
characteristics,-1,-1,True,False,False,False,False
chatgpt,-1,-1,True,False,False,False,False
