token,mod24,band8,EULER_smoke_v2,CLIFFORD_smoke_v2,KNOT_smoke_v2,formal_certified_v2,Δlambda2,Δmdl,braid_delta,braid_delta_z
11,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
20,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
25,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
30,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
3f,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
4f,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
60,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
CATALOG_NIEMEIER_24,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
CODE_GOLAY_EXTENDED,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
CONSTRUCTION_A_TEMPLATE,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
CONWAY_GROUPS_AUT_LEECH,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
DEEPPHOLE_LEECH_23_ORBITS,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
E8_ROOT_SYSTEM_240,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
E8_THETA_WEIGHT4,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
GROTH_SHEAF_GLUE,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
HODGE_SPLIT_GRAPH,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
II_25_1_LORENTZ_CUT,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
KOL_MDL_DELTA,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
LAMINATED_LATTICES_SEQ,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
LEECH_MIN_SHELL_196560,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
LEECH_NO_ROOTS_MIN4,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
NOETHER_CONSERVATION,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
PARITY_64BIT_LANES,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
PROOF_E8_DENSEST_AM2017,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
PROOF_LEECH_DENSEST_AM2017,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
PROOF_UNIVERSAL_OPTIMALITY_AM2022,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
SMT_GODEL_GATES,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
SPECTRAL_GAP_RAYLEIGH,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
TURYN_3xE8_TO_LEECH,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
UQ_CONFORMAL_90COVERAGE,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
WAVELET_FOURIER_SLICE,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
about,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
abs,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
across,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
act,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
action,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
add,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
additional,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
after,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
also,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
an,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
analyze,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
applications,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
are,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
as,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
atom,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
available,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
ax1,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
base,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
baseline,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
basic,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
becomes,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
before,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
between,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
bonus,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
bouncing,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
by,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
canvas,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
capacity,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
cartan,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
chamber,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
channels,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
characteristics,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
chatgpt,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
color,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
complete,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
complex,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
component,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
computational,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
conditions,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
context,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
control,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
copy,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
could,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
creative,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
criteria,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
critical,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
database,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
de,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
default,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
define,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
dict,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
discovery,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
do,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
documentation,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
domain_context,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
dtt,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
due,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
during,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
efficiency,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
empty,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
enhanced,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
entire,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
environment,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
evidence_level,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
execution,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
execution_time,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
existing,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
exploration,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
exploring,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
extensions,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
final,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
focus,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
for,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
form,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
formula,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
forward,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
found,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
framework,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
full,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
function,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
functions,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
further,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
generate,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
get,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
given,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
golden,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
graph,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
has,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
hash,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
high,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
hodge,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
hypothesis,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
implement,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
include,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
initialize,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
insights,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
interaction,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
is_valid_permutation,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
item,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
k-mer,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
key,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
knowledge,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
lambda,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
laminate,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
law,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
len,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
limbo_list,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
linalg,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
log,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
logger,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
logic,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
map,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
mass,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
math,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
me,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
method,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
methods,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
metrics,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
min,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
missing,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
moderate,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
most,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
name__,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
needed,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
next,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
no,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
