token,origin_x,pre_lambda2,post_lambda2,Δlambda2,pre_triad,post_triad,Δtriad,pre_mdl,post_mdl,Δmdl,band8_old,mod24_old,band8_new,mod24_new,Δband,Δmod24,pre_size,post_size,origin_y,H_pre,H_post,ΔH,C_pre,C_post,ΔC,Ceff_pre,Ceff_post,S_pre,S_post,reconnections,origin,label,is_anchor
PROOF_E8_DENSEST_AM2017,synthetic,0.0010477013556339,0.0010477013556339,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,11,4,11,0,0,98,98,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
PROOF_LEECH_DENSEST_AM2017,synthetic,0.0015801287655393,0.0015801287655393,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,15,1,15,0,0,149,149,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
PROOF_UNIVERSAL_OPTIMALITY_AM2022,synthetic,0.0012411750285463,0.0012411750285463,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,5,21,5,21,0,0,72,72,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
CATALOG_NIEMEIER_24,synthetic,0.0027573791151482,0.0027573791151482,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,10,7,10,0,0,128,128,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
DEEPPHOLE_LEECH_23_ORBITS,synthetic,0.0024837172491288,0.0024837172491288,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,5,1,5,0,0,145,145,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
CODE_GOLAY_EXTENDED,synthetic,0.0027573791151482,0.0027573791151482,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,10,7,10,0,0,128,128,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
CONSTRUCTION_A_TEMPLATE,synthetic,0.0014230332182683,0.0014230332182683,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,1,6,1,0,0,158,158,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
TURYN_3xE8_TO_LEECH,synthetic,0.0015219610508531,0.0015219610508531,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,19,1,19,0,0,148,148,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
E8_ROOT_SYSTEM_240,synthetic,0.0004516110220718,0.0004516110220718,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,7,4,7,0,0,160,160,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
LEECH_MIN_SHELL_196560,synthetic,0.0072771605761859,0.0072771605761859,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,3,1,3,0,0,124,124,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
E8_THETA_WEIGHT4,synthetic,0.0018488333574248,0.0018488333574248,0.0,0.0181818181818181,0.0181818181818181,0.0,-8.608286575078363,-8.608286575078363,0.0,7,17,7,17,0,0,203,203,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
LEECH_NO_ROOTS_MIN4,synthetic,0.002160372803655,0.002160372803655,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,22,6,22,0,0,193,193,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
CONWAY_GROUPS_AUT_LEECH,synthetic,0.0030936499884221,0.0030936499884221,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,1,4,1,0,0,143,143,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
LAMINATED_LATTICES_SEQ,synthetic,0.0004510303390379,0.0004510303390379,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,2,1,2,0,0,206,206,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
II_25_1_LORENTZ_CUT,synthetic,0.0040291925937436,0.0040291925937436,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,17,3,17,0,0,160,160,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0,synthetic,FRONTIER,True
