scene_num,scene_title,family,group,replicate,status,palindromic,cartan_present,half_step,half_step_defect,n4_to_n5
0,Orientation: The CQE Spine Live,"E8/Hamming(8,4,4)",Weyl_E8,0,PROVISIONAL,False,False,False,,NO
0,Orientation: The CQE Spine Live,"E8/Hamming(8,4,4)",Weyl_E8,1,NON-WORKING,False,False,True,bounds,HALF-STEP
0,Orientation: The CQE Spine Live,"E8/Hamming(8,4,4)",Weyl_E8,2,PROVISIONAL,False,False,False,,NO
0,Orientation: The CQE Spine Live,"E8/Hamming(8,4,4)",Weyl_E8,3,NON-WORKING,False,False,True,parity,HALF-STEP
0,Orientation: The CQE Spine Live,"E8/Hamming(8,4,4):alt",Weyl_E8,0,NON-WORKING,False,False,False,,NO
0,Orientation: The CQE Spine Live,"E8/Hamming(8,4,4):alt",Weyl_E8,1,NON-WORKING,False,False,False,,NO
0,Orientation: The CQE Spine Live,"E8/Hamming(8,4,4):alt",Weyl_E8,2,NON-WORKING,False,False,False,,NO
0,Orientation: The CQE Spine Live,"E8/Hamming(8,4,4):alt",Weyl_E8,3,NON-WORKING,False,False,False,,NO
0,Orientation: The CQE Spine Live,"Leech/Golay(24,12,8)",Co0,0,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,"Leech/Golay(24,12,8)",Co0,1,NON-WORKING,False,False,False,,NO
0,Orientation: The CQE Spine Live,"Leech/Golay(24,12,8)",Co0,2,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,"Leech/Golay(24,12,8)",Co0,3,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,"Leech/Golay(24,12,8):alt",Co1,0,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,"Leech/Golay(24,12,8):alt",Co1,1,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,"Leech/Golay(24,12,8):alt",Co1,2,NON-WORKING,False,True,True,parity,HALF-STEP
0,Orientation: The CQE Spine Live,"Leech/Golay(24,12,8):alt",Co1,3,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,Monster/Moonshine,Monster,0,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,Monster/Moonshine,Monster,1,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,Monster/Moonshine,Monster,2,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,Monster/Moonshine,Monster,3,NON-WORKING,False,True,False,,NO
0,Orientation: The CQE Spine Live,Identity/Default,default,0,NON-WORKING,False,False,True,parity,HALF-STEP
0,Orientation: The CQE Spine Live,Identity/Default,default,1,NON-WORKING,False,False,True,parity,HALF-STEP
0,Orientation: The CQE Spine Live,Identity/Default,default,2,NON-WORKING,False,False,False,,NO
