token,deg,reconnections,recon_cat,recon_gain,w_pre_sum,w_post_sum,gain_ratio,Δlambda2,Δmdl,post_lambda2,post_triad,post_size,band8_old,mod24_old,band8_new,mod24_new,Δband,Δmod24,H_pre,H_post,ΔH,C_pre,C_post,ΔC,mod24,band8,lambda_gain,mdl_gain,braid_simpl,reconn_any,s_gain_ratio,s_dlam,s_mdl,closure_index,in_topq_m24,in_topq_b8,stage0,stage1,stage2,stage3,stage4,stage5,evidence_tier,formal_certified,formal_certified_v2,formal_certified_v3
11,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
20,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
25,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
30,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
3f,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
4f,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
60,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
CATALOG_NIEMEIER_24,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0027573791151482,0.0,128.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False,False,False
CODE_GOLAY_EXTENDED,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0027573791151482,0.0,128.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False,False,False
CONSTRUCTION_A_TEMPLATE,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0014230332182683,0.0,158.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
CONWAY_GROUPS_AUT_LEECH,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0030936499884221,0.0,143.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
DEEPPHOLE_LEECH_23_ORBITS,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0024837172491288,0.0,145.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
E8_ROOT_SYSTEM_240,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0004516110220718,0.0,160.0,4.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
E8_THETA_WEIGHT4,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0018488333574248,0.0181818181818181,203.0,7.0,17.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,7,True,True,True,False,0.0,0.0,0.0,0.4518181818181818,True,True,1,1,1,1,0,0,PROVEN,False,False,False
GROTH_SHEAF_GLUE,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.000981666885014,0.0,128.0,1.0,22.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
HODGE_SPLIT_GRAPH,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0007000943464527,0.0,147.0,6.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
II_25_1_LORENTZ_CUT,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0040291925937436,0.0,160.0,3.0,17.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False,False,False
KOL_MDL_DELTA,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0012854478304392,0.0181818181818181,174.0,7.0,18.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,7,True,True,True,False,0.0,0.0,0.0,0.4518181818181818,True,True,1,1,1,1,0,0,PROVEN,False,False,False
LAMINATED_LATTICES_SEQ,11,0,0,0,7.922136996885267,6.12165131577498,0.7727272727272728,0.0,0.0,0.0004510303390379,0.0,206.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
LEECH_MIN_SHELL_196560,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0072771605761859,0.0,124.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
LEECH_NO_ROOTS_MIN4,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.002160372803655,0.0,193.0,6.0,22.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
