file,scene_label,scene_num,title,props,blocking,debrief,section
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_00.pdf,Scene 0:,0,Orientation: The CQE Spine Live,"['Room', 'One table, 8 colored pens, tape wall for overlays.', 'Paper kit', 'Octet sheet, DNA■10, 4■bit sticker, ledger page.', 'Instruments', 'None (paper■only).', 'Safety', 'N/A']","['■■ Pick a tiny question (≤1 min).', '■■ Mark 8 views (colored boxes), set a palindromic REST.', '■■ Run a forward↔inverse mirror; circle mismatches (red).', '■■ Write a Δ■lift (local identity) to fix one mismatch; re■mirror.', '■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger.', 'Ledger hook (what gets recorded)', '— form_id, octet map, mirror tolerance, Δ■lift note, strict threshold, 4■bit.', 'Hand■ins (artifacts to keep)', '✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row.']","['■ Which view dominated debt?', '■ Was the Δ■lift local and monotone?', '■ Would a different mirror have failed?']",debrief
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_01.pdf,Scene 1:,1,n=1→n=5: The Hinge that Forces the Octad,"['Room', 'Grid board (4×4), parity markers.', 'Paper kit', 'n=1→4 worksheets, insertion checklist, class bins (8).', 'Instruments', 'Safety', 'N/A']","['■■ Build n=1 rest, show first parity choice at n=2.', '■■ Complete n=3, point to latent 4■cell cross.', '■■ Canonicalize n=4 palindrome (up to pose).', '■■ Enumerate 16 insertion tests for ‘5’; bucket into 8 legal classes; note 1 palindromic + 7 invariant.', 'Ledger hook (what gets recorded)', '— Octad class tag, pose, tolerance; 4■bit commit when 4 views pass.', 'Hand■ins (artifacts to keep)', '✓ Checked grid, class map (8), receipt.']","['■ What would ‘<8 classes’ break downstream?', '■ How does rotation act on class labels?']",debrief
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_02.pdf,Scene 2:,2,Mirror & Δ■Lift Clinic (Bug■to■Fix),"['Room', 'Whiteboard, printed spectra pair or time series twin.', 'Paper kit', 'Instruments', 'Safety', 'N/A']","['■■ Pick the forward pipeline; write its inverse.', '■■ Run both; mark delta windows; choose one Δ■lift from the cookbook; re■run mirror; record debt drop.', 'Ledger hook (what gets recorded)', '— Mirror tolerance, Δ■lift id, before/after OPE/FCE, strict update.', 'Hand■ins (artifacts to keep)', '✓ Before/after overlay with red fix marks, 4■bit row.']",['■ Was the Δ local? Did it generalize to a second view?'],debrief
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_03.pdf,Scene 3:,3,Octet Coverage for ML (A/B→Octet),"['Room', 'Cards for 8 data slices; metric stickers.', 'Paper kit', 'Instruments', 'Safety', 'N/A']","['■■ List 8 materially independent views (slices or metrics).', '■■ Require ≥4 pass post■Δ■lift before commit; log 4■bit.', 'Ledger hook (what gets recorded)', '— Views passed, metric triplet, slab size, commit.', 'Hand■ins (artifacts to keep)', '✓ Octet pass grid, receipts.']",['■ Which 4 were necessary and sufficient?'],debrief
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_04.pdf,Scene 4:,4,Construction■A Loom: E8 and Leech on Paper,"['Room', 'Foam board, pegs, 8 & 24 strings, clip set.', 'Paper kit', 'Instruments', 'Safety', 'N/A']","['■■ Lay code parity rows; mark syndrome pad.', '■■ Build E8 halves; overlay mirror; demonstrate root reflections.', '■■ Mask octads for a Leech slice; show legality via parity.', 'Ledger hook (what gets recorded)', '— Code id, modulus, glue vector, octad layout, legality receipts.', 'Hand■ins (artifacts to keep)', '✓ Photo of loom, mask sheet, ledger row.']",['■ What fails if glue parity flips?'],debrief
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_05.pdf,Scene 5:,5,Sidecar Sprint: 4 Rails in 20 Minutes,"['Room', '4 stations; shared octet; sticky token labels.', 'Paper kit', 'Instruments', 'Safety', 'N/A']","['■■ Run each rail: tokens→octet→mirror→Δ→strict→4■bit; copy receipts to master ledger.', 'Ledger hook (what gets recorded)', '— 4 receipts, shared form_id, per■rail thresholds.', 'Hand■ins (artifacts to keep)', '✓ 4 station sheets; master ledger row.']",['■ Which rail constrained the others? Why?'],debrief
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_06.pdf,Scene 6:,6,Two■Scientist Theorem■Card Resolution,"['Room', 'Theorem cards, claim wall, mirror worksheet.', 'Paper kit', 'Instruments', 'Safety', 'N/A']","['■■ Each writes claim+assumptions; test under shared mirror; record receipts; promote passing; archive', 'failing with hash.', 'Ledger hook (what gets recorded)', '— Claim ids, mirror pass/fail, Δ■lift ids, receipts.', 'Hand■ins (artifacts to keep)', '✓ Card stack, mirror sheet, ledger snippet.']",['■ Did any claim survive only after a Δ■lift?'],debrief
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_07.pdf,Scene 7:,7,8■Person Table with Neighbor Lanes,"['Room', 'Round table, role badges, coordination board.', 'Paper kit', 'Instruments', 'Safety', 'N/A']","['■■ Assign roles; run 2 cycles; enforce neighbor receipts; rotate seats; compare throughput.', 'Ledger hook (what gets recorded)', '— Seat map, cycle count, debt burn, commits.', 'Hand■ins (artifacts to keep)', '✓ Coord board photo, ledger rows.']",['■ Which neighbor interface was hottest?'],debrief
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_08.pdf,Scene 8:,8,Card■Deck CQE + Lab Stations,"['Room', 'Decks, sleeves, sticky notes, cheap sensors (thermometer, lux meter, calipers).', 'Paper kit', 'Instruments', 'Safety', 'N/A']","['■■ Map aces→primitives, 2–8 synthesis, 9 full idea, 10 parity twin; face cards = observers; jokers =', 'Cartan links; run octet/mirror/Δ/strict; pause for a measurement; re■enter.', 'Ledger hook (what gets recorded)', '— Deck id, card set, measurement token, 4■bit commit.', 'Hand■ins (artifacts to keep)', '✓ Card photo, metric sheet, ledger.']",['■ What metric flipped a decision?'],debrief
extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_09.pdf,Scene 9:,9,Hypercube→Toroidal Chamber (4■bit Hubs),"['Room', 'Printed nets, tape, colored thread for hubs.', 'Paper kit', 'Instruments', 'Safety', 'N/A']","['■■ Assemble net; mark parity lanes; identify 4 hubs; trace two■slice mid (n=32); note how octad sits on', 'faces.', 'Ledger hook (what gets recorded)', '— Pose, hub ids, mid■slice tags, 4■bit example.', 'Hand■ins (artifacts to keep)', '✓ Assembled model photos, notes, ledger.']",['■ What would break if hubs were 3 or 9?'],debrief
