token,mod24,band8,mirror_mod24,mirror_band8,paired,paired_with
11,-1,-1,1,1,True,20
20,-1,-1,1,1,True,11
25,-1,-1,1,1,True,11
30,-1,-1,1,1,True,11
3f,-1,-1,1,1,True,11
4f,-1,-1,1,1,True,11
60,-1,-1,1,1,True,11
CATALOG_NIEMEIER_24,-1,-1,1,1,True,11
CODE_GOLAY_EXTENDED,-1,-1,1,1,True,11
CONSTRUCTION_A_TEMPLATE,-1,-1,1,1,True,11
CONWAY_GROUPS_AUT_LEECH,-1,-1,1,1,True,11
DEEPPHOLE_LEECH_23_ORBITS,-1,-1,1,1,True,11
E8_ROOT_SYSTEM_240,-1,-1,1,1,True,11
E8_THETA_WEIGHT4,-1,-1,1,1,True,11
GROTH_SHEAF_GLUE,-1,-1,1,1,True,11
HODGE_SPLIT_GRAPH,-1,-1,1,1,True,11
II_25_1_LORENTZ_CUT,-1,-1,1,1,True,11
KOL_MDL_DELTA,-1,-1,1,1,True,11
LAMINATED_LATTICES_SEQ,-1,-1,1,1,True,11
LEECH_MIN_SHELL_196560,-1,-1,1,1,True,11
LEECH_NO_ROOTS_MIN4,-1,-1,1,1,True,11
NOETHER_CONSERVATION,-1,-1,1,1,True,11
PARITY_64BIT_LANES,-1,-1,1,1,True,11
PROOF_E8_DENSEST_AM2017,-1,-1,1,1,True,11
PROOF_LEECH_DENSEST_AM2017,-1,-1,1,1,True,11
PROOF_UNIVERSAL_OPTIMALITY_AM2022,-1,-1,1,1,True,11
SMT_GODEL_GATES,-1,-1,1,1,True,11
SPECTRAL_GAP_RAYLEIGH,-1,-1,1,1,True,11
TURYN_3xE8_TO_LEECH,-1,-1,1,1,True,11
UQ_CONFORMAL_90COVERAGE,-1,-1,1,1,True,11
WAVELET_FOURIER_SLICE,-1,-1,1,1,True,11
about,-1,-1,1,1,True,11
abs,-1,-1,1,1,True,11
across,-1,-1,1,1,True,11
act,-1,-1,1,1,True,11
action,-1,-1,1,1,True,11
add,-1,-1,1,1,True,11
additional,-1,-1,1,1,True,11
after,-1,-1,1,1,True,11
also,-1,-1,1,1,True,11
an,-1,-1,1,1,True,11
analyze,-1,-1,1,1,True,11
applications,-1,-1,1,1,True,11
are,-1,-1,1,1,True,11
as,-1,-1,1,1,True,11
atom,-1,-1,1,1,True,11
available,-1,-1,1,1,True,11
ax1,-1,-1,1,1,True,11
base,-1,-1,1,1,True,11
baseline,-1,-1,1,1,True,11
basic,-1,-1,1,1,True,11
becomes,-1,-1,1,1,True,11
before,-1,-1,1,1,True,11
between,-1,-1,1,1,True,11
bonus,-1,-1,1,1,True,11
bouncing,-1,-1,1,1,True,11
by,-1,-1,1,1,True,11
canvas,-1,-1,1,1,True,11
capacity,-1,-1,1,1,True,11
cartan,-1,-1,1,1,True,11
chamber,-1,-1,1,1,True,11
channels,-1,-1,1,1,True,11
characteristics,-1,-1,1,1,True,11
chatgpt,-1,-1,1,1,True,11
color,-1,-1,1,1,True,11
complete,-1,-1,1,1,True,11
complex,-1,-1,1,1,True,11
component,-1,-1,1,1,True,11
computational,-1,-1,1,1,True,11
conditions,-1,-1,1,1,True,11
context,-1,-1,1,1,True,11
control,-1,-1,1,1,True,11
copy,-1,-1,1,1,True,11
could,-1,-1,1,1,True,11
creative,-1,-1,1,1,True,11
criteria,-1,-1,1,1,True,11
critical,-1,-1,1,1,True,11
database,-1,-1,1,1,True,11
de,-1,-1,1,1,True,11
