token,origin,band8_old,mod24_old,band8_new,mod24_new,Δband,Δmod24
PROOF_E8_DENSEST_AM2017,synthetic,4,11,4,11,0,0
PROOF_LEECH_DENSEST_AM2017,synthetic,1,15,1,15,0,0
PROOF_UNIVERSAL_OPTIMALITY_AM2022,synthetic,5,21,5,21,0,0
CATALOG_NIEMEIER_24,synthetic,7,10,7,10,0,0
DEEPPHOLE_LEECH_23_ORBITS,synthetic,1,5,1,5,0,0
CODE_GOLAY_EXTENDED,synthetic,7,10,7,10,0,0
CONSTRUCTION_A_TEMPLATE,synthetic,6,1,6,1,0,0
TURYN_3xE8_TO_LEECH,synthetic,1,19,1,19,0,0
E8_ROOT_SYSTEM_240,synthetic,4,7,4,7,0,0
LEECH_MIN_SHELL_196560,synthetic,1,3,1,3,0,0
E8_THETA_WEIGHT4,synthetic,7,17,7,17,0,0
LEECH_NO_ROOTS_MIN4,synthetic,6,22,6,22,0,0
CONWAY_GROUPS_AUT_LEECH,synthetic,4,1,4,1,0,0
LAMINATED_LATTICES_SEQ,synthetic,1,2,1,2,0,0
II_25_1_LORENTZ_CUT,synthetic,3,17,3,17,0,0
WAVELET_FOURIER_SLICE,synthetic,3,3,3,3,0,0
HODGE_SPLIT_GRAPH,synthetic,6,7,6,7,0,0
SPECTRAL_GAP_RAYLEIGH,synthetic,7,13,7,13,0,0
KOL_MDL_DELTA,synthetic,7,18,7,18,0,0
UQ_CONFORMAL_90COVERAGE,synthetic,3,7,3,7,0,0
SMT_GODEL_GATES,synthetic,3,6,3,6,0,0
GROTH_SHEAF_GLUE,synthetic,1,22,1,22,0,0
NOETHER_CONSERVATION,synthetic,7,16,7,16,0,0
PARITY_64BIT_LANES,synthetic,3,15,3,15,0,0
stability_score,natural,2,18,2,18,2,0
entity1,natural,4,18,4,18,2,0
hybrid_vector,natural,3,9,3,9,2,0
average_efficiency,natural,0,21,0,21,2,0
total_improvement_from_initial,natural,4,12,5,12,1,0
safeguards,natural,2,2,2,2,2,0
assertisinstance,natural,3,21,3,21,2,0
chamber_inner_products,natural,5,21,5,21,2,0
neighboring,natural,7,4,6,4,1,0
promising,natural,1,20,0,20,1,0
scientifically,natural,5,15,6,15,1,0
updated_at,natural,5,19,5,19,2,0
root_groups,natural,2,11,2,11,2,0
overall_performance,natural,0,3,0,3,2,0
organized,natural,3,3,3,3,2,0
validate_all_systems,natural,7,6,7,6,0,0
globally,natural,7,22,7,21,2,23
n_display,natural,3,17,4,17,1,0
hinting,natural,1,2,1,2,2,0
both,natural,3,9,3,9,2,0
view-only,natural,3,5,3,6,2,1
largest,natural,0,9,0,9,2,0
pulse_exploration,natural,4,10,4,10,2,0
researchtargets,natural,2,16,2,16,2,0
layout_memor_finaly,natural,1,14,1,14,2,0
opt_score,natural,7,21,7,21,2,0
rotation_2d,natural,7,20,7,20,0,0
languagetype,natural,3,12,3,12,2,0
executable,natural,0,17,0,17,2,0
pathways_per_problem,natural,3,12,3,12,2,0
winners_losers_data_n8,natural,7,17,7,17,2,0
d4,natural,7,20,7,20,2,0
memory_usage,natural,3,7,4,7,1,0
weeks,natural,4,20,4,20,2,0
backends,natural,3,13,3,13,0,0
einstein,natural,7,17,7,17,2,0
strict_enforcement,natural,7,7,7,7,0,0
uptime,natural,5,13,5,13,2,0
kahler_manifold,natural,4,9,4,9,2,0
all_efficiencies,natural,3,15,3,15,2,0
2-4,natural,6,21,5,21,1,0
outreach,natural,3,8,3,8,2,0
zeros_simple,natural,6,22,7,23,1,1
sensor,natural,7,16,7,16,2,0
from,natural,2,3,2,3,2,0
multipole,natural,1,15,1,15,2,0
academic_publication_portfolio,natural,3,19,3,19,2,0
ndecomposition,natural,3,2,3,2,2,0
collaborative,natural,5,5,5,5,0,0
int_,natural,5,2,5,2,2,0
