symbol,module,event_count,events
run,Code.SNAPMORSR,37,1;2;7;8;9;10;11;13;15;19;23;24;29;31;32;33;34;40;46;47;48;57;58;59;60;62;64;65;66;68;69;70;71;72;73;74;77
E8,Code.e8_stratum,30,1;2;5;6;7;8;10;11;13;14;15;18;25;26;33;34;38;40;41;42;62;63;64;72;73;74;75;76;77;78
SNAPDNA,Code.snapdna,23,14;15;16;18;20;24;25;26;31;32;63;64;65;66;67;68;69;72;73;74;75;76;77
PIDX,Code.pidx,21,56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76
audit,Code.porter_report_templates,21,6;8;29;30;31;32;34;38;42;43;44;45;46;48;51;57;58;67;73;77;78
coverage,Code.metrics,21,1;2;8;43;44;45;46;48;51;52;53;56;58;59;61;63;73;74;76;77;78
here,Code.paths,20,2;6;11;14;17;18;20;21;22;32;38;43;44;53;57;58;71;72;73;74
log,Code.structlog,19,1;2;9;10;16;18;23;29;33;38;45;46;58;59;60;61;65;76;78
summary,Code.porter_report_templates,15,6;14;17;19;20;21;32;38;60;61;63;68;71;72;74
escalation,Code.porter_report_templates,14,29;30;31;32;42;68;69;70;71;72;73;74;75;76
LayoutMemory,Code.layout_memory,12,46;47;48;57;58;63;64;65;66;72;73;74
SNAPSuperperm,Code.snap_superperm,12,43;44;45;46;54;60;61;63;72;73;74;75
length,Code.superperm_metrics,11,40;43;44;45;48;53;58;59;61;62;78
windows,Code.window_ops,11,53;57;58;59;60;61;62;70;73;75;76
LaminateFilter,Code.laminate_filter,9,59;60;61;62;63;67;72;73;75
emit,Code.trace,9,8;10;18;29;33;43;55;58;72
main,Code.generate_snap_tools,7,10;19;29;38;44;45;74
CarrySet,Code.carryset,6,58;59;60;61;73;74
PorterAgent,Code.sap_bus,6,29;30;31;32;34;68
info,Code.structlog,6,12;13;14;18;19;72
WinnersManager,Code.winners,4,62;73;75;76
mirrored,Code.template_library,4,12;17;18;70
MORSR,Code.morsr,3,76;77;78
interleave,Code.template_library,3,66;67;74
rotations,Code.template_library,3,66;67;74
E8Key,Code.safe_square,2,75;76
Playbook,Code.playbook,2,75;76
SNAPRegency,Code.snap_regency,2,75;76
bands,Code.template_library,2,67;74
choice,Code.rand,2,45;73
