token,origin,pre_lambda2,post_lambda2,Δlambda2,pre_triad,post_triad,Δtriad,pre_mdl,post_mdl,Δmdl,band8_old,mod24_old,band8_new,mod24_new,Δband,Δmod24,pre_size,post_size
PROOF_E8_DENSEST_AM2017,synthetic,0.0010477013556339932,0.0010477013556339932,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,11,4,11,0,0,98,98
PROOF_LEECH_DENSEST_AM2017,synthetic,0.0015801287655393315,0.0015801287655393315,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,15,1,15,0,0,149,149
PROOF_UNIVERSAL_OPTIMALITY_AM2022,synthetic,0.0012411750285463887,0.0012411750285463887,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,5,21,5,21,0,0,72,72
CATALOG_NIEMEIER_24,synthetic,0.002757379115148245,0.002757379115148245,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,10,7,10,0,0,128,128
DEEPPHOLE_LEECH_23_ORBITS,synthetic,0.002483717249128837,0.002483717249128837,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,5,1,5,0,0,145,145
CODE_GOLAY_EXTENDED,synthetic,0.002757379115148245,0.002757379115148245,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,10,7,10,0,0,128,128
CONSTRUCTION_A_TEMPLATE,synthetic,0.0014230332182683365,0.0014230332182683365,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,1,6,1,0,0,158,158
TURYN_3xE8_TO_LEECH,synthetic,0.0015219610508531401,0.0015219610508531401,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,19,1,19,0,0,148,148
E8_ROOT_SYSTEM_240,synthetic,0.0004516110220718957,0.0004516110220718957,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,7,4,7,0,0,160,160
LEECH_MIN_SHELL_196560,synthetic,0.0072771605761859474,0.0072771605761859474,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,3,1,3,0,0,124,124
E8_THETA_WEIGHT4,synthetic,0.0018488333574248818,0.0018488333574248818,0.0,0.01818181818181818,0.01818181818181818,0.0,-8.608286575078363,-8.608286575078363,0.0,7,17,7,17,0,0,203,203
LEECH_NO_ROOTS_MIN4,synthetic,0.002160372803655086,0.002160372803655086,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,22,6,22,0,0,193,193
CONWAY_GROUPS_AUT_LEECH,synthetic,0.0030936499884221262,0.0030936499884221262,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,4,1,4,1,0,0,143,143
LAMINATED_LATTICES_SEQ,synthetic,0.0004510303390379963,0.0004510303390379963,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,2,1,2,0,0,206,206
II_25_1_LORENTZ_CUT,synthetic,0.004029192593743635,0.004029192593743635,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,17,3,17,0,0,160,160
WAVELET_FOURIER_SLICE,synthetic,0.0014931783806052853,0.0014931783806052853,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,3,3,3,0,0,87,87
HODGE_SPLIT_GRAPH,synthetic,0.0007000943464527359,0.0007000943464527359,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,6,7,6,7,0,0,147,147
SPECTRAL_GAP_RAYLEIGH,synthetic,0.003567977115858299,0.003567977115858299,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,7,13,7,13,0,0,140,140
KOL_MDL_DELTA,synthetic,0.0012854478304392901,0.0012854478304392901,0.0,0.01818181818181818,0.01818181818181818,0.0,-8.608286575078363,-8.608286575078363,0.0,7,18,7,18,0,0,174,174
UQ_CONFORMAL_90COVERAGE,synthetic,0.005103980734454243,0.005103980734454243,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,7,3,7,0,0,170,170
SMT_GODEL_GATES,synthetic,0.0019195124947036914,0.0019195124947036914,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,3,6,3,6,0,0,325,325
GROTH_SHEAF_GLUE,synthetic,0.0009816668850140718,0.0009816668850140718,0.0,0.0,0.0,0.0,-8.608286575078363,-8.608286575078363,0.0,1,22,1,22,0,0,128,128
