n,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1,0.2893257247632214,0.4191606763811534,0.4838523075172294,0.0,-0.5192442744925223,0.1279822191685064,-0.1806067293183341,-0.47622080693623975,0.10457986992729437,1.0,-0.5093182184391889,6.237349259589851e-17,-0.2748594385250602,0.39820264256209575,0.18963706578425074,-0.5000318472830518,0.494518356659545,0.12188782777952986,0.10457986992729437,1.0
2,0.11851527684953238,0.9760611192834195,0.8270765588224772,0.4340832642202402,-1.0023920515809341,-0.24706745079390852,0.11851527684953217,-0.9760611192834195,0.04337840435485396,2.0,-0.8706069040236601,0.4569297518107794,-0.11258951300705543,0.9272580633192485,-0.12444104069200937,-1.0248641752475907,0.9546590967437467,-0.23530233408943668,0.04337840435485396,2.0
3,-0.39014775080502767,1.0287350721314927,0.5937530242246583,0.8601997608095165,-0.8647124878969302,-0.7660684165047539,0.6250031833943768,-0.9054734324310706,0.0006767915714558815,3.0,-0.6250031833943769,0.9054734324310705,0.37064036326477634,0.9772983185249179,-0.6562533425640961,-0.950747104052624,0.8235357027589811,-0.7295889680997654,0.0006767915714558815,3.0
4,-0.8530168638483121,0.7557069977437617,0.1304975648783205,1.074744139530707,-0.42432008739869537,-1.1188401184326715,1.0090822662517556,-0.5296072284105651,0.0013086447023282744,4.0,-0.13736585776665303,1.1313096205586388,0.8103660206558968,0.7179216478565733,-1.0595363795643438,-0.5560875898310925,0.40411436895113806,-1.0655620175549254,0.0013086447023282744,4.0
5,-1.110697572065088,0.27376236403740917,-0.3853638199644519,1.0161208832038446,0.14478085657310483,-1.1923776299064992,1.1439383412381248,-5.080106740776301e-16,3.426573208681505e-05,5.0,0.40564612627837054,1.0696009296882574,1.0551626934618337,0.26007424583553856,-1.201135258300031,1.4709664494201624e-16,-0.13788653006962429,-1.1355977427680943,3.426573208681505e-05,5.0
6,-1.0997255874875833,-0.27105801272552515,-0.8054021230979995,0.7135240183611115,0.6755822979540774,-0.9787499303537986,1.0029011322092527,0.526363119007231,-0.0318617247690091,6.0,0.8477917085242103,0.7510779140643278,1.0447393081132041,-0.25750511208924903,-1.053046188819715,0.5526812749575931,-0.6434117123372167,-0.9321427908131413,-0.0318617247690091,6.0
7,-0.8477917085242106,-0.7510779140643273,-1.0447393081132037,0.2575051120892496,1.0530461888197151,-0.5526812749575928,0.6434117123372172,0.932142790813141,0.03186172476900903,7.0,1.099725587487583,0.27105801272552577,0.8054021230979999,-0.713524018361111,-0.6755822979540775,0.9787499303537985,-1.0029011322092523,-0.5263631190072315,0.03186172476900903,7.0
8,-0.4056461262783711,-1.0696009296882572,-1.055162693461834,-0.26007424583553795,1.201135258300031,-2.9419328988403247e-16,0.13788653006962492,1.1355977427680943,-3.4265732086810056e-05,8.0,1.1106975720650882,-0.27376236403740856,0.38536381996445246,-1.0161208832038444,-0.1447808565731055,1.192377629906499,-1.1439383412381248,-1.4009204280192022e-16,-3.4265732086810056e-05,8.0
9,0.13736585776665214,-1.1313096205586388,-0.810366020655897,-0.717921647856573,1.059536379564344,0.5560875898310924,-0.4041143689511378,1.0655620175549254,-0.0013086447023282588,9.0,0.8530168638483124,-0.7557069977437612,-0.13049756487832012,-1.074744139530707,0.42432008739869526,1.1188401184326715,-1.0090822662517558,0.5296072284105648,-0.0013086447023282588,9.0
10,0.625003183394376,-0.905473432431071,-0.37064036326477673,-0.9772983185249178,0.656253342564097,0.9507471040526233,-0.8235357027589806,0.7295889680997661,-0.0006767915714559792,10.0,0.39014775080502856,-1.0287350721314925,-0.5937530242246575,-0.8601997608095171,0.8647124878969302,0.766068416504754,-0.6250031833943779,0.9054734324310697,-0.0006767915714559792,10.0
