t,face,x,y,val
0,0,50,22,0.20540921839990373
1,1,59,38,0.4012696842020714
2,2,6,63,0.42620936758993927
3,3,41,57,0.17331497885800962
4,4,60,42,0.8295426179631719
5,5,61,54,0.530047461165481
6,6,14,39,0.5971052079005233
7,7,29,25,0.5365526381821913
8,7,49,13,0.58953254984432
9,0,24,50,0.44675948340095284
10,1,33,48,0.09442671185875846
11,2,46,63,0.00010895429028675046
12,3,47,49,0.22665147203016173
13,4,8,62,0.9291898846531603
14,5,33,32,0.6981647771891986
15,6,40,7,0.9234244399624307
16,6,50,31,0.9772239912865982
17,7,43,27,0.5906570063939015
18,0,62,16,0.4280994525302125
19,1,23,6,0.26883216343919053
20,2,54,27,0.1119226082465343
21,3,49,55,0.12491824206190227
22,4,8,24,0.5587238259471072
23,5,49,26,0.5550376737188168
24,5,57,26,0.8902142111658027
25,6,34,25,0.9365537643423062
26,7,43,55,0.8719643902939936
27,0,16,2,0.22621496522579004
28,1,35,46,0.49783533065193564
29,2,54,33,0.4365263591488848
30,3,19,7,0.5004776186403727
31,4,44,10,0.5838665193598251
32,4,56,40,0.523423313802317
33,5,35,34,0.5769321856383385
34,6,26,33,0.948021575347727
35,7,3,47,0.8770010272664991
36,0,62,58,0.4433593170890799
37,1,43,40,0.26259336197752736
38,2,6,21,0.48478916169392533
39,3,11,27,0.1530960383635518
40,3,39,45,0.013911923051187098
41,4,6,4,0.5869653989251429
42,5,11,8,0.5853118727201542
43,6,56,35,0.9701287957328923
44,7,51,19,0.5664684599987793
45,0,36,60,0.036974573120491135
46,1,41,34,0.020567429115433262
47,2,14,51,0.4624768268489332
48,2,12,27,0.4335263355972397
49,3,25,37,0.12132627016036746
50,4,0,56,0.5484129703235335
51,5,13,6,0.5999988738398856
52,6,22,23,0.9967600092643175
53,7,5,57,0.8567773053099816
54,0,40,4,0.02762571141039891
55,1,9,50,0.4860830953769025
56,1,17,38,0.4029306077680849
57,2,20,55,0.4719632641338792
58,3,15,17,0.0010546193691708303
59,4,40,40,0.9513284929334362
60,5,25,30,0.5797164761064336
61,6,60,45,0.5998111514192902
62,7,31,49,0.7541990119217038
63,0,58,10,0.4402274079413835
64,0,46,62,0.10801530113054014
65,1,33,28,0.06229210733414985
66,2,38,59,0.4012696842020714
67,3,3,9,0.32574635120677026
68,4,48,20,0.8062022733612422
69,5,1,44,0.7337100310101861
70,6,32,37,0.5142758927291635
71,7,7,41,0.842855822804475
72,7,27,61,0.6749716124072497
73,0,40,52,0.4030185387129363
74,1,17,12,0.4870959739476382
75,2,14,7,0.35449126338498926
76,3,3,1,0.48909161259580364
77,4,20,8,0.8719643902939936
78,5,55,62,0.5291887584930458
79,6,20,7,0.6145134940856509
80,6,34,1,0.8875835849594274
81,7,43,25,0.946202615096407
82,0,0,50,0.3900864989655089
83,1,39,46,0.04796392902922178
84,2,52,33,0.27614797571106026
85,3,55,15,0.4195644917420701
86,4,10,62,0.9657546124699681
87,5,49,50,0.9895336760044346
88,5,43,56,0.6145134940856519
89,6,10,9,0.978795422026676
90,7,55,35,0.7400369829593275
91,0,48,34,0.12205110779271718
92,1,53,42,0.3889908830672117
93,2,16,37,0.46958939847049164
94,3,63,55,0.32238150973189433
95,4,28,56,0.5701276695727779
96,4,2,46,0.7606298813057316
97,5,63,8,0.7223826358920088
98,6,2,5,0.6173790597968498
99,7,41,63,0.7516930415157626
100,0,28,4,0.05697271988894593
101,1,29,46,0.14640277161211782
102,2,18,49,0.40040456863414053
103,3,13,51,0.26883216343919053
104,0,28,24,0.1830637112077762
105,1,61,4,0.055567181216136595
106,2,18,35,0.3678281895062908
107,3,47,39,0.26839638030027024
108,4,32,38,0.5928606781131043
109,5,17,42,0.8633971353753515
110,6,46,13,0.6642777657318149
111,7,7,29,0.9523698606284267
112,7,31,39,0.804952412943792
113,0,58,34,0.34688258907983
114,1,33,40,0.09456190507198857
115,2,52,41,0.4431202008720858
116,3,61,3,0.0006950378967711769
117,4,16,40,0.8033580266085465
118,5,63,62,0.9904520476235132
119,6,18,59,0.8951087451825143
120,6,20,61,0.9960817266645646
121,7,59,15,0.552779450354968
122,0,38,36,0.29081811849104805
123,1,47,46,0.4959523379847968
124,2,58,43,0.04211482307066505
125,3,15,27,0.234011708020978
126,4,28,48,0.5677179390802842
127,5,41,60,0.734820889878125
128,5,1,36,0.9355147987358969
129,6,38,31,0.9928618042732187
130,7,33,13,0.9829900812722612
131,0,38,2,0.38344361609674804
132,1,45,8,0.20398330425909858
133,2,24,11,0.40726617720306446
134,3,19,23,0.05796171739067707
135,4,44,28,0.5786296147741358
136,4,58,30,0.768967445364078
137,5,5,4,0.9775580588329151
138,6,18,37,0.5828149590536111
139,7,37,9,0.5664684599987783
140,0,60,4,0.23199235240413668
141,1,37,40,0.46530752190389174
142,2,40,59,0.42762683757051334
143,3,3,37,0.06560902578817311
144,3,51,45,0.32751274974829986
145,4,18,16,0.6761491018711727
146,5,25,26,0.5213273963204811
147,6,28,13,0.5992317516318332
