uid,tick,phi,nibble,e8_res2,kissing_dev,leech_ok,merkle
d0,0,35.100000,0101,0.000000,0.000000,0,1b4fcbd50258bd0ce58083ab2cca6f5410ba44350aeddf1355490ae4c9a7f9b4
d0,0,35.100000,0101,0.000000,0.000000,0,09e386129aa954b5c2bd3cc1d9e55bafd1a5fa321f63bc48d5c1f511fedd8c57
d0,0,35.100000,0111,0.390625,0.000000,1,fd8ff15ec02aa963c3bcd390866d1cfd92aaf2f794711fc453c49a99dfeb0f91
d0,0,35.100000,0111,0.390625,0.000000,1,69df62e578021bceda564285c59676c1f064efde2901424bad54e8e34265b2ae
d1,0,27.000000,0101,0.000000,0.000000,0,a886d6227ca896938c395aedb7381c18ae53c5bce4b7b5d4926d35d8a57974d9
d1,0,27.000000,0101,0.000000,0.000000,0,89e4aca3ff65fd77864bc5efe5b15018f31b6cdbc8d7ca78eec3939f75e7e528
d1,0,27.000000,0111,0.421875,0.000000,1,9561640de52ef7317443862b60714a6a933008ff431db080461097baaff7c3e7
d1,0,27.000000,0111,0.421875,0.000000,1,9067a7bd10a62c51edf0c215ba7aeded7819bdb7fbcbf6d66a15b6d9bdeecf59
d0,0,35.100000,0111,0.390625,0.000000,1,99118adf129cd973ae7726eb056a640b9a19040254c6e42d7226e8783dbfcb20
d0,0,35.100000,0111,0.390625,0.000000,1,c0845e4e197c0a0036092e6e55f27b61da822cb41274e958f4265cfe044aa0ef
d0,0,35.100000,0111,0.390625,0.000000,1,fd8ff15ec02aa963c3bcd390866d1cfd92aaf2f794711fc453c49a99dfeb0f91
d0,0,35.100000,0111,0.390625,0.000000,1,69df62e578021bceda564285c59676c1f064efde2901424bad54e8e34265b2ae
d1,0,27.000000,0111,0.421875,0.000000,1,b401b5433246feb8a93a3e5f7c3c3cc905e6e6c744d249d6b615be7e6ac1ed8e
d1,0,27.000000,0111,0.421875,0.000000,1,c40a674b7a00d7779d558c6277b504bc6ba565ff1803e2d4e65a13452a7ad1af
d1,0,27.000000,0111,0.421875,0.000000,1,9561640de52ef7317443862b60714a6a933008ff431db080461097baaff7c3e7
d1,0,27.000000,0111,0.421875,0.000000,1,9067a7bd10a62c51edf0c215ba7aeded7819bdb7fbcbf6d66a15b6d9bdeecf59
d0,0,35.100000,0111,0.390625,0.000000,1,99118adf129cd973ae7726eb056a640b9a19040254c6e42d7226e8783dbfcb20
d0,0,35.100000,0111,0.390625,0.000000,1,c0845e4e197c0a0036092e6e55f27b61da822cb41274e958f4265cfe044aa0ef
d0,0,35.100000,0111,0.390625,0.000000,1,fd8ff15ec02aa963c3bcd390866d1cfd92aaf2f794711fc453c49a99dfeb0f91
d0,0,35.100000,0111,0.390625,0.000000,1,69df62e578021bceda564285c59676c1f064efde2901424bad54e8e34265b2ae
d1,0,27.000000,0111,0.421875,0.000000,1,b401b5433246feb8a93a3e5f7c3c3cc905e6e6c744d249d6b615be7e6ac1ed8e
d1,0,27.000000,0111,0.421875,0.000000,1,c40a674b7a00d7779d558c6277b504bc6ba565ff1803e2d4e65a13452a7ad1af
d1,0,27.000000,0111,0.421875,0.000000,1,9561640de52ef7317443862b60714a6a933008ff431db080461097baaff7c3e7
d1,0,27.000000,0111,0.421875,0.000000,1,9067a7bd10a62c51edf0c215ba7aeded7819bdb7fbcbf6d66a15b6d9bdeecf59
d0,0,35.100000,0111,0.390625,0.000000,1,99118adf129cd973ae7726eb056a640b9a19040254c6e42d7226e8783dbfcb20
d0,0,35.100000,0111,0.390625,0.000000,1,c0845e4e197c0a0036092e6e55f27b61da822cb41274e958f4265cfe044aa0ef
d0,0,35.100000,0111,0.390625,0.000000,1,fd8ff15ec02aa963c3bcd390866d1cfd92aaf2f794711fc453c49a99dfeb0f91
d0,0,35.100000,0111,0.390625,0.000000,1,69df62e578021bceda564285c59676c1f064efde2901424bad54e8e34265b2ae
d1,0,27.000000,0111,0.421875,0.000000,1,b401b5433246feb8a93a3e5f7c3c3cc905e6e6c744d249d6b615be7e6ac1ed8e
d1,0,27.000000,0111,0.421875,0.000000,1,c40a674b7a00d7779d558c6277b504bc6ba565ff1803e2d4e65a13452a7ad1af
d1,0,27.000000,0111,0.421875,0.000000,1,9561640de52ef7317443862b60714a6a933008ff431db080461097baaff7c3e7
d1,0,27.000000,0111,0.421875,0.000000,1,9067a7bd10a62c51edf0c215ba7aeded7819bdb7fbcbf6d66a15b6d9bdeecf59
d0,0,35.100000,0111,0.390625,0.000000,1,99118adf129cd973ae7726eb056a640b9a19040254c6e42d7226e8783dbfcb20
