experiment,slice_id,rest_frame,B,white,rho,act,reason,parity_debt,parity_vote
COH,0,0,1001,0.984,0.001,EXO,no_residue_improvement,0.036,
COH,0,1,1111,0.991,0.0,EXO,no_residue_improvement,-0.036,
COH,1,0,1111,0.974,0.052,DIGEST,receipts_pass,0.002,
COH,1,1,1111,0.983,0.002,DIGEST,receipts_pass,-0.002,
COH,2,0,1111,0.993,0.0,DIGEST,receipts_pass,-0.03,
COH,2,1,1111,0.979,0.003,DIGEST,receipts_pass,0.03,
COH,3,0,1111,0.964,0.002,DIGEST,receipts_pass,-0.136,
COH,3,1,1111,0.99,0.034,DIGEST,receipts_pass,0.136,
COH,4,0,1111,0.987,0.068,DIGEST,receipts_pass,-0.106,
COH,4,1,1111,0.982,0.002,DIGEST,receipts_pass,0.106,
COH,5,0,1111,0.984,0.074,DIGEST,receipts_pass,0.026,
COH,5,1,1111,0.985,0.027,DIGEST,receipts_pass,-0.026,
COH,6,0,1111,0.988,0.047,DIGEST,receipts_pass,0.169,
COH,6,1,1111,0.981,0.007,DIGEST,receipts_pass,-0.169,
COH,7,0,1111,0.992,0.002,DIGEST,receipts_pass,0.014,
COH,7,1,1111,0.988,0.004,DIGEST,receipts_pass,-0.014,
QD,0,0,0000,0.976,0.015,DIGEST,receipts_pass,-0.004,E
QD,0,1,0000,0.975,0.026,DIGEST,receipts_pass,0.004,E
QD,1,0,0000,0.976,0.023,DIGEST,receipts_pass,0.014,E
QD,1,1,0000,0.975,0.016,DIGEST,receipts_pass,-0.014,E
QD,2,0,0000,0.975,0.017,DIGEST,receipts_pass,-0.007,E
QD,2,1,0000,0.976,0.021,DIGEST,receipts_pass,0.007,E
QD,3,0,0000,0.975,0.028,DIGEST,receipts_pass,0.01,E
QD,3,1,0000,0.976,0.014,DIGEST,receipts_pass,-0.01,E
QD,4,0,0000,0.976,0.014,DIGEST,receipts_pass,-0.01,E
QD,4,1,0000,0.975,0.028,DIGEST,receipts_pass,0.01,E
QD,5,0,0000,0.976,0.021,DIGEST,receipts_pass,0.007,E
QD,5,1,0000,0.975,0.017,DIGEST,receipts_pass,-0.007,E
QD,6,0,0000,0.975,0.016,DIGEST,receipts_pass,-0.014,E
QD,6,1,0000,0.976,0.023,DIGEST,receipts_pass,0.014,E
QD,7,0,0000,0.975,0.026,DIGEST,receipts_pass,0.004,E
QD,7,1,0000,0.976,0.015,DIGEST,receipts_pass,-0.004,E
