orbit_sig,count
19532,68
45746,54
51764,39
17476,35
47802,32
13514,27
47794,24
27724,23
37554,23
19564,23
20564,22
37994,21
19524,20
19533,20
23130,18
20560,18
45754,18
45714,17
27276,17
29324,16
21580,16
17484,16
35946,16
21076,16
35954,15
44718,15
43692,15
19540,15
17477,14
44202,14
21074,14
45738,13
44714,13
23134,13
47795,12
20046,12
27284,12
29332,12
22616,12
35510,12
45722,12
12940,12
25228,12
64184,12
43698,12
21588,12
38002,12
11474,11
21576,11
13386,11
47288,11
35947,11
27852,11
42148,11
43694,11
21612,10
29768,10
35890,10
54386,10
19116,10
46250,10
11468,10
18996,10
43690,10
35882,10
46154,10
17485,10
37555,10
12942,10
11346,10
53808,10
44114,10
9414,10
21164,10
21036,10
50724,10
45232,10
17068,9
11339,9
24154,9
21586,9
22648,9
25676,9
27853,9
47803,9
19534,9
21584,9
62136,9
37562,9
14554,9
27717,9
52324,9
45747,9
18516,9
45715,9
53941,9
53944,9
27725,9
9871,9
46730,9
29396,9
9870,9
23642,9
45755,9
12946,9
44686,9
17990,9
12498,9
44178,8
52772,8
44690,8
37548,8
37550,8
37551,8
45744,8
45743,8
13530,8
15067,8
47762,8
27716,8
21037,8
19972,8
29785,8
27723,8
27732,8
53937,8
11469,8
26253,8
15434,8
23162,8
19565,8
52336,8
23132,8
50276,8
52261,8
17492,8
37426,8
42116,8
53804,8
18989,8
25220,8
29340,8
46282,8
40050,8
19541,8
17517,8
36398,8
52338,8
52260,7
35378,7
19980,7
54377,7
17516,7
42146,7
38450,7
56890,7
51316,7
46314,7
13012,7
19530,7
25668,7
23634,7
31833,7
31834,7
27728,7
35951,7
29896,7
23640,7
19556,7
46275,7
52341,7
46162,7
52782,7
37558,7
46762,7
19981,7
22609,7
39610,7
22618,7
43687,7
18988,7
11334,7
13518,7
41636,7
28752,7
53932,7
47346,7
28888,7
28173,7
11460,7
20562,7
19525,7
25796,7
51892,7
9412,6
37930,6
10900,6
36526,6
9422,6
21581,6
14546,6
8844,6
11343,6
45267,6
11462,6
10924,6
11338,6
37542,6
33445,6
21172,6
46291,6
9862,6
44234,6
44204,6
10964,6
19528,6
44226,6
45296,6
52268,6
47352,6
19124,6
17508,6
52332,6
23098,6
13011,6
43702,6
13512,6
18540,6
50732,6
19028,6
11983,6
19020,6
18548,6
55856,6
45226,6
22620,6
20557,6
41124,6
45750,6
27730,6
23128,6
55868,6
62608,6
53806,6
4178,6
55867,6
3598,6
53809,6
43667,6
42144,6
22098,6
44719,6
23632,6
46259,6
52269,6
27729,6
45264,6
12972,6
44115,6
21609,6
35382,6
44106,6
53296,6
29328,6
39027,6
34470,6
35938,6
42642,6
55992,6
12954,6
17988,6
1095,6
27308,6
42671,6
17966,6
29337,6
42666,6
39602,6
45745,6
30809,6
30808,6
18964,6
12506,5
21044,5
19559,5
36402,5
44562,5
20568,5
12939,5
12938,5
20592,5
35502,5
44586,5
52780,5
56434,5
35942,5
45242,5
46163,5
46763,5
13522,5
28884,5
52776,5
52266,5
52264,5
45240,5
29388,5
21052,5
20045,5
20604,5
55984,5
11347,5
13395,5
36390,5
13387,5
36391,5
45274,5
20589,5
20588,5
36395,5
55865,5
55864,5
19548,5
49716,5
53936,5
15562,5
53818,5
26828,5
50726,5
45749,5
48202,5
39611,5
22102,5
43704,5
29901,5
22094,5
5194,5
5198,5
29900,5
61584,5
5230,5
19052,5
19053,5
27292,5
39483,5
21100,5
50852,5
39482,5
53940,5
45739,5
47763,5
44074,5
53948,5
62129,5
22644,5
22649,5
53368,5
17998,5
49837,5
17989,5
49708,5
53421,5
50213,5
30936,5
25669,5
42182,5
18524,5
17934,5
17924,5
3142,5
22652,5
3150,5
25741,5
42114,5
3182,5
53360,5
17486,5
41650,5
23096,5
53811,5
43666,5
18980,5
53816,5
15578,5
29333,5
51772,5
45732,5
45723,5
27736,5
10445,5
21572,5
27844,5
9934,5
54376,5
51760,5
37553,5
54321,5
37546,5
44179,5
9413,5
33454,5
21140,5
19117,5
60076,5
32932,5
32346,5
47344,5
51884,5
21196,5
19535,5
37995,5
9421,5
54368,5
37962,5
60084,5
9874,5
46290,5
35375,4
31322,4
53365,4
13019,4
17509,4
17490,4
29339,4
19526,4
31832,4
53800,4
17926,4
29336,4
53424,4
17991,4
45299,4
33895,4
54384,4
13004,4
17964,4
45298,4
19557,4
17940,4
54370,4
29771,4
13010,4
17932,4
45713,4
34342,4
19567,4
19572,4
34347,4
19573,4
33446,4
15066,4
34478,4
45266,4
19060,4
45740,4
53945,4
52778,4
19974,4
31824,4
15450,4
31826,4
46274,4
29784,4
45730,4
29773,4
20004,4
20044,4
33830,4
46226,4
20038,4
15003,4
29777,4
52779,4
20036,4
18990,4
20020,4
33462,4
18997,4
53820,4
29913,4
34932,4
33956,4
11461,4
47354,4
37043,4
26252,4
37106,4
9935,4
37110,4
37114,4
41638,4
41623,4
51763,4
9863,4
28165,4
21212,4
37430,4
9423,4
37538,4
9410,4
26245,4
37040,4
51756,4
37036,4
47290,4
44242,4
25797,4
42112,4
47291,4
23122,4
25805,4
26837,4
10892,4
36979,4
44235,4
42050,4
28238,4
3630,4
23092,4
43685,4
35383,4
44266,4
38442,4
44098,4
27720,4
38571,4
39026,4
22605,4
22604,4
39035,4
47787,4
27348,4
27340,4
6226,4
47800,4
50740,4
5231,4
50734,4
40043,4
44107,4
9286,4
27722,4
60048,4
37560,4
21579,4
44169,4
27733,4
37931,4
37938,4
21590,4
44146,4
62128,4
21593,4
38003,4
4334,4
40059,4
44138,4
28250,4
23116,4
11918,4
11990,4
29320,4
63736,4
20556,4
11854,4
28876,4
44716,4
55859,4
20565,4
28889,4
52306,4
35886,4
29316,4
20569,4
24789,4
20585,4
64144,4
55866,4
35508,4
42626,4
35511,4
11975,4
44707,4
49316,4
20601,4
44711,4
1135,4
11986,4
49844,4
11790,4
52274,4
28753,4
55416,4
42662,4
49828,4
36399,4
10962,4
49829,4
11330,4
12950,4
42156,4
23164,4
49836,4
47275,4
20593,4
12948,4
44674,4
63704,4
44678,4
63672,4
42162,4
35493,4
11470,4
22636,3
19037,3
23660,3
22127,3
46258,3
19029,3
22608,3
50725,3
22126,3
23148,3
50208,3
48338,3
50221,3
30344,3
53356,3
23160,3
23100,3
46186,3
23157,3
30812,3
23156,3
53362,3
23127,3
46218,3
25678,3
23133,3
26180,3
23166,3
30803,3
46227,3
46235,3
23212,3
23066,3
22653,3
18981,3
50220,3
25675,3
25685,3
48298,3
48810,3
26708,3
22637,3
23633,3
53304,3
20070,3
22096,3
50735,3
21018,3
28760,3
47272,3
52272,3
21041,3
29394,3
21045,3
47274,3
47280,3
28308,3
19566,3
21072,3
52786,3
21078,3
28301,3
51896,3
19546,3
47226,3
21012,3
28880,3
46315,3
20076,3
20078,3
20054,3
20053,3
20052,3
20548,3
46722,3
20014,3
52775,3
20012,3
20596,3
52330,3
29266,3
46754,3
52322,3
52774,3
29404,3
19542,3
21102,3
27726,3
21548,3
51748,3
21574,3
29787,3
21592,3
21594,3
21595,3
53292,3
21237,3
47770,3
47786,3
27357,3
27356,3
27349,3
22063,3
27285,3
29779,3
27860,3
46298,3
47314,3
19537,3
52795,3
51885,3
21108,3
28239,3
28237,3
47312,3
21132,3
29776,3
51769,3
21156,3
51766,3
46283,3
21180,3
21181,3
21183,3
53425,3
15443,3
18020,3
35500,3
35501,3
12504,3
55860,3
12501,3
12500,3
12499,3
12496,3
44715,3
12492,3
12490,3
43688,3
44710,3
35874,3
62124,3
40506,3
43693,3
35885,3
4719,3
56360,3
40041,3
43697,3
40018,3
56410,3
35930,3
56425,3
35939,3
11846,3
55858,3
55850,3
34467,3
35495,3
13531,3
54840,3
34479,3
54898,3
13516,3
34930,3
13510,3
43660,3
34995,3
55344,3
45203,3
45200,3
35364,3
55352,3
13015,3
13007,3
13003,3
12999,3
55404,3
55408,3
55409,3
12975,3
44723,3
60424,3
43670,3
55420,3
12955,3
61648,3
35941,3
56433,3
44682,3
10453,3
10452,3
44219,3
44042,3
39034,3
60947,3
59016,3
9869,3
44200,3
59044,3
59052,3
37422,3
37435,3
44112,3
44194,3
9344,3
44130,3
9294,3
9290,3
9282,3
7258,3
8868,3
60435,3
44170,3
37987,3
8837,3
44162,3
6254,3
39474,3
39475,3
10975,3
44679,3
35950,3
11458,3
35963,3
39605,3
43706,3
5190,3
11354,3
11351,3
5195,3
11342,3
5202,3
5203,3
37028,3
58036,3
61520,3
58385,3
17996,3
39538,3
61096,3
10903,3
44241,3
10895,3
6234,3
36978,3
36987,3
54832,3
37954,3
33862,3
33842,3
54320,3
31376,3
15059,3
42186,3
43178,3
42179,3
31326,3
53810,3
54344,3
42638,3
43180,3
15070,3
42668,3
54352,3
2670,3
31324,3
45707,3
17511,3
42159,3
42154,3
33894,3
31320,3
33444,3
15435,3
54378,3
53933,3
42627,3
17044,3
53874,3
53875,3
1606,3
42674,3
43161,3
31452,3
16949,3
16948,3
45742,3
31377,3
17061,3
42630,3
31825,3
31389,3
42631,3
54312,3
42634,3
42635,3
43176,3
45753,3
14555,3
53819,3
14552,3
14034,3
3143,3
14426,3
679,3
30940,3
42658,3
14042,3
42120,3
53488,3
63002,3
34020,3
42131,3
17957,3
30928,3
53432,3
34343,3
13966,3
34350,3
13962,3
42667,3
237,3
46130,3
3151,3
45306,3
31314,3
31256,3
63608,3
54393,3
31259,3
43187,3
39152,2
38011,2
42660,2
42629,2
38010,2
39025,2
25221,2
39539,2
38514,2
38562,2
27727,2
38567,2
39594,2
37993,2
38574,2
38570,2
37970,2
24146,2
39600,2
27293,2
39601,2
38058,2
44050,2
47792,2
39099,2
39090,2
44035,2
44113,2
27325,2
49715,2
27324,2
42659,2
27653,2
47793,2
39030,2
44137,2
38059,2
24740,2
24773,2
42637,2
24186,2
27721,2
42054,2
42195,2
39603,2
41618,2
42128,2
41615,2
42130,2
26254,2
25740,2
41604,2
43674,2
26256,2
43675,2
43684,2
25684,2
25679,2
43186,2
43185,2
41136,2
42123,2
43663,2
27277,2
41644,2
42051,2
26118,2
48658,2
43254,2
43250,2
42018,2
43249,2
26127,2
