pose_code,count
38,269
89,237
41,217
86,213
54,162
45,156
90,155
70,155
42,153
73,151
34,151
37,148
40,148
105,138
22,138
57,138
85,136
82,134
25,134
87,133
102,128
93,121
39,120
101,110
26,108
88,107
74,103
106,95
44,95
35,93
69,92
53,89
58,88
92,88
18,85
104,84
109,79
83,79
72,77
103,75
23,74
43,73
66,73
21,72
50,70
61,67
55,66
77,66
56,65
98,65
71,63
46,63
19,61
24,60
99,60
29,59
28,56
33,54
60,50
67,50
51,49
84,49
36,47
118,46
91,45
81,45
94,44
62,42
30,42
108,42
6,39
10,39
76,39
97,39
121,38
49,37
75,37
27,37
8,36
78,36
107,35
100,34
125,34
110,34
68,33
9,33
122,33
59,32
17,31
52,31
117,29
65,29
13,27
7,27
20,27
114,27
124,27
120,26
12,24
5,23
80,22
2,22
115,22
119,21
47,20
95,15
116,15
123,14
1,14
111,14
48,13
32,13
3,13
96,10
14,9
113,9
63,9
16,8
11,7
15,7
64,7
0,6
79,6
31,5
126,5
127,5
112,4
4,4
