scene_num,scene_title,component,category,source_file
0,Orientation: The CQE Spine Live, See the full loop: Octet → Mirror → Δ■lift → Strict → 4■bit receipts.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live, See the full loop: Octet → Mirror → Δ■lift → Strict → 4■bit receipts.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live, Learn how a 2■minute paper run creates a reproducible ledger row.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,"One table, 8 colored pens, tape wall for overlays.",overlay,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,"Octet sheet, DNA■10, 4■bit sticker, ledger page.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,"Octet sheet, DNA■10, 4■bit sticker, ledger page.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,"■■ Mark 8 views (colored boxes), set a palindromic REST.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,■■ Run a forward↔inverse mirror; circle mismatches (red).,view,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,■■ Write a Δ■lift (local identity) to fix one mismatch; re■mirror.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,"■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,"■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,Ledger hook (what gets recorded),ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,"— form_id, octet map, mirror tolerance, Δ■lift note, strict threshold, 4■bit.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,"✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,"✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,■ Which view dominated debt?,view,CQE_Roleplay_Scenes_v1_0_Master.pdf
0,Orientation: The CQE Spine Live,■ Would a different mirror have failed?,view,CQE_Roleplay_Scenes_v1_0_Master.pdf
1,n=1→n=5: The Hinge that Forces the Octad,Ledger hook (what gets recorded),ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf
1,n=1→n=5: The Hinge that Forces the Octad,"— Octad class tag, pose, tolerance; 4■bit commit when 4 views pass.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf
1,n=1→n=5: The Hinge that Forces the Octad,"✓ Checked grid, class map (8), receipt.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf
2,Mirror & Δ■Lift Clinic (Bug■to■Fix),Scene 2: Mirror & Δ■Lift Clinic (Bug■to■Fix),view,CQE_Roleplay_Scenes_v1_0_Master.pdf
2,Mirror & Δ■Lift Clinic (Bug■to■Fix), Turn a one■way mismatch into a local repair with receipts.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf
2,Mirror & Δ■Lift Clinic (Bug■to■Fix), Practice mirror pairs (FFT↔iFFT; encode↔decode; simulate↔measure).,view,CQE_Roleplay_Scenes_v1_0_Master.pdf
