step,theta,x,y,symbol,invariant,bucket,ops,parity_ok,conservation_ok,closure_ok,info_bound_ok
1,0.000000,8,8,W,Parity,S,,True,True,False,True
2,2.399950,7,8,A,Parity,I,,True,True,False,True
3,4.799900,8,6,V,Parity,R,,True,True,False,True
4,0.916664,9,9,E,Parity,E,,True,True,False,True
5,3.316614,5,7,C,BoundedInfo,N,,True,False,False,True
6,5.716564,10,6,O,BoundedInfo,V,,True,False,False,True
7,1.833329,7,11,D,BoundedInfo,O,,True,True,False,True
8,4.233279,6,4,E,BoundedInfo,P,glue+flip,True,True,True,True
9,0.350043,12,9,P,Conservation,S,,True,False,True,True
10,2.749993,3,9,A,Conservation,I,,True,False,True,True
11,5.149943,10,3,I,Conservation,R,,True,True,True,True
12,1.266708,9,13,R,Conservation,E,,True,True,True,True
13,3.666658,2,4,B,Closure,N,,True,False,True,True
14,6.066607,14,6,I,Closure,V,,True,False,True,True
15,2.183372,3,14,N,Closure,O,,True,True,True,True
16,4.583322,6,0,D,Closure,P,glue+flip,True,True,True,True
17,0.700086,14,13,W,Parity,S,,True,True,True,True
18,3.100036,0,8,A,Parity,I,,True,False,True,True
19,5.499986,14,1,V,Parity,R,,True,False,True,True
20,1.616751,7,15,E,Parity,E,,True,False,True,True
21,4.016701,1,0,C,BoundedInfo,N,,True,False,True,True
22,0.133465,15,9,O,BoundedInfo,V,,True,False,True,True
23,2.533415,0,14,D,BoundedInfo,O,,True,False,True,True
24,4.933365,10,0,E,BoundedInfo,P,glue+flip,True,False,True,True
25,1.050130,14,15,P,Conservation,S,,True,False,True,True
26,3.450080,0,4,A,Conservation,I,,True,False,True,True
27,5.850029,15,2,I,Conservation,R,,True,False,True,True
28,1.966794,2,15,R,Conservation,E,,True,False,True,True
29,4.366744,3,0,B,Closure,N,,True,False,True,True
30,0.483509,15,14,I,Closure,V,,True,False,True,True
31,2.883458,0,11,N,Closure,O,,True,True,True,True
32,5.283408,15,0,D,Closure,P,glue+flip,True,True,True,True
33,1.400173,10,15,W,Parity,S,,True,True,True,True
34,3.800123,0,0,A,Parity,I,,True,False,True,True
35,6.200073,15,6,V,Parity,R,,True,False,True,True
36,2.316837,0,15,E,Parity,E,,True,False,True,True
37,4.716787,8,0,C,BoundedInfo,N,,True,False,True,True
38,0.833552,15,15,O,BoundedInfo,V,,True,False,True,True
39,3.233502,0,6,D,BoundedInfo,O,,True,False,True,True
40,5.633452,15,0,E,BoundedInfo,P,glue+flip,True,False,True,True
41,1.750216,4,15,P,Conservation,S,,True,False,True,True
42,4.150166,0,0,A,Conservation,I,,True,False,True,True
43,0.266931,15,13,I,Conservation,R,,True,False,True,True
44,2.666881,0,15,R,Conservation,E,,True,False,True,True
45,5.066830,15,0,B,Closure,N,,True,False,True,True
46,1.183595,15,15,I,Closure,V,,True,False,True,True
47,3.583545,0,0,N,Closure,O,,True,True,True,True
48,5.983495,15,0,D,Closure,P,glue+flip,True,True,True,True
49,2.100259,0,15,W,Parity,S,,True,True,True,True
50,4.500209,2,0,A,Parity,I,,True,False,True,True
51,0.616974,15,15,V,Parity,R,,True,False,True,True
52,3.016924,0,11,E,Parity,E,,True,False,True,True
53,5.416874,15,0,C,BoundedInfo,N,,True,False,True,True
54,1.533638,9,15,O,BoundedInfo,V,,True,False,True,True
55,3.933588,0,0,D,BoundedInfo,O,,True,False,True,True
56,0.050353,15,9,E,BoundedInfo,P,glue+flip,True,False,True,True
57,2.450303,0,15,P,Conservation,S,,True,False,True,True
58,4.850253,11,0,A,Conservation,I,,True,False,True,True
59,0.967017,15,15,I,Conservation,R,,True,False,True,True
60,3.366967,0,1,R,Conservation,E,,True,False,True,True
61,5.766917,15,0,B,Closure,N,,True,False,True,True
62,1.883682,0,15,I,Closure,V,,True,False,True,True
63,4.283631,0,0,N,Closure,O,,True,True,True,True
64,0.400396,15,15,D,Closure,P,glue+flip,True,True,True,True
65,2.800346,0,15,W,Parity,S,,True,True,True,True
66,5.200296,15,0,A,Parity,I,,True,False,True,True
67,1.317060,15,15,V,Parity,R,,True,False,True,True
68,3.717010,0,0,E,Parity,E,,True,False,True,True
69,6.116960,15,2,C,BoundedInfo,N,,True,False,True,True
70,2.233725,0,15,O,BoundedInfo,V,,True,False,True,True
71,4.633675,5,0,D,BoundedInfo,O,,True,False,True,True
72,0.750439,15,15,E,BoundedInfo,P,glue+flip,True,False,True,True
73,3.150389,0,7,P,Conservation,S,,True,False,True,True
74,5.550339,15,0,A,Conservation,I,,True,False,True,True
75,1.667104,4,15,I,Conservation,R,,True,False,True,True
76,4.067053,0,0,R,Conservation,E,,True,False,True,True
77,0.183818,15,15,B,Closure,N,,True,False,True,True
78,2.583768,0,15,I,Closure,V,,True,False,True,True
79,4.983718,15,0,N,Closure,O,,True,True,True,True
80,1.100482,15,15,D,Closure,P,glue+flip,True,True,True,True
81,3.500432,0,0,W,Parity,S,,True,True,True,True
82,5.900382,15,0,A,Parity,I,,True,False,True,True
83,2.017147,0,15,V,Parity,R,,True,False,True,True
84,4.417097,0,0,E,Parity,E,,True,False,True,True
85,0.533861,15,15,C,BoundedInfo,N,,True,False,True,True
86,2.933811,0,15,O,BoundedInfo,V,,True,False,True,True
87,5.333761,15,0,D,BoundedInfo,O,,True,False,True,True
88,1.450526,13,15,E,BoundedInfo,P,glue+flip,True,False,True,True
89,3.850476,0,0,P,Conservation,S,,True,False,True,True
90,6.250425,15,6,A,Conservation,I,,True,False,True,True
91,2.367190,0,15,I,Conservation,R,,True,False,True,True
92,4.767140,10,0,R,Conservation,E,,True,False,True,True
93,0.883905,15,15,B,Closure,N,,True,False,True,True
94,3.283854,0,1,I,Closure,V,,True,False,True,True
95,5.683804,15,0,N,Closure,O,,True,True,True,True
96,1.800569,0,15,D,Closure,P,glue+flip,True,True,True,True
