rel_path,name,ext,size_bytes,mtime,inferred_date,has_81025
gpt gode for agrm-cmplx/starting docs/latest best of 81025 chat log.txt,latest best of 81025 chat log.txt,.txt,335626,2025-08-10 10:37:45.421513319,2002-08-01,True
gpt gode for agrm-cmplx/starting docs/latest best of 81025 master codeblock.txt,latest best of 81025 master codeblock.txt,.txt,22253,2025-08-10 10:37:45.421946764,2002-08-01,True
gpt gode for agrm-cmplx/starting docs/e8 actualizeation attempt codebase part 1,e8 actualizeation attempt codebase part 1,,32485,2025-08-10 10:37:45.407464027,,False
gpt gode for agrm-cmplx/starting docs/e8 actualizeation attempt codebase part 2,e8 actualizeation attempt codebase part 2,,31889,2025-08-10 10:37:45.407941341,,False
gpt gode for agrm-cmplx/starting docs/e8 actualizeation attempt codebase part 3.txt,e8 actualizeation attempt codebase part 3.txt,.txt,13188,2025-08-10 10:37:45.408309698,,False
gpt gode for agrm-cmplx/starting docs/e8 lattice initial actualization attempt,e8 lattice initial actualization attempt,,106008,2025-08-10 10:37:45.414751053,,False
gpt gode for agrm-cmplx/starting docs/e8 lattice initial actualization attempt post mortem.txt,e8 lattice initial actualization attempt post mortem.txt,.txt,19671,2025-08-10 10:37:45.415153742,,False
gpt gode for agrm-cmplx/starting docs/e8 system inintal attempt explaination,e8 system inintal attempt explaination,,13024,2025-08-10 10:37:45.415379524,,False
gpt gode for agrm-cmplx/starting docs/e8 system inintal attempt explaination.txt,e8 system inintal attempt explaination.txt,.txt,13024,2025-08-10 10:37:45.415815115,,False
gpt gode for agrm-cmplx/starting docs/first sprint post mortem.txt,first sprint post mortem.txt,.txt,18997,2025-08-10 10:37:45.416186094,,False
gpt gode for agrm-cmplx/starting docs/first work sprint codebase.txt,first work sprint codebase.txt,.txt,44471,2025-08-10 10:37:45.416664839,,False
gpt gode for agrm-cmplx/starting docs/first work sprint log file.txt,first work sprint log file.txt,.txt,149933,2025-08-10 10:37:45.417793036,,False
gpt gode for agrm-cmplx/starting docs/inital SNAP build post mortem.txt,inital SNAP build post mortem.txt,.txt,18579,2025-08-10 10:37:45.418221235,,False
gpt gode for agrm-cmplx/starting docs/initial SNAP build log with GPT5.txt,initial SNAP build log with GPT5.txt,.txt,48225,2025-08-10 10:37:45.418665171,,False
gpt gode for agrm-cmplx/starting docs/initial SNAP build log.txt,initial SNAP build log.txt,.txt,48225,2025-08-10 10:37:45.419317245,,False
