pack,class,pass_rate
PACK_BIO_SGE,baseline,0.0
PACK_BIO_SGE,golden,1.0
PACK_CHEM_ATRO,baseline,0.0
PACK_CHEM_ATRO,golden,1.0
PACK_CHEM_METHYL_XFER,baseline,0.0
PACK_CHEM_METHYL_XFER,golden,1.0
PACK_CHEM_RELAY,baseline,0.0
PACK_CHEM_RELAY,golden,1.0
PACK_CM_TOPO_SC,baseline,0.0
PACK_CM_TOPO_SC,golden,1.0
PACK_EM_NH,baseline,0.0
PACK_EM_NH,golden,1.0
PACK_MAT_GRO,baseline,0.0
PACK_MAT_GRO,golden,0.0
PACK_NEURO_RIPPLE,baseline,0.0
PACK_NEURO_RIPPLE,golden,1.0
PACK_PHOT_GAUGE,baseline,0.0
PACK_PHOT_GAUGE,golden,1.0
PACK_PHOT_PNN,baseline,0.0
PACK_PHOT_PNN,golden,1.0
PACK_QD_ENTAN_VERIFY,baseline,0.0
PACK_QD_ENTAN_VERIFY,golden,1.0
